pub_year,country_code,cpc_broad_class,patent_count
1911,GB,Mining related,83
1911,SE,Agriculture related,158
1911,SE,Mining related,2
1911,US,Agriculture related,1704
1911,US,Data process related,421
1911,US,Mining related,220
1912,AT,Agriculture related,3
1912,AT,Mining related,2
1912,CA,Agriculture related,1
1912,CH,Agriculture related,2
1912,CH,Data process related,1
1912,DE,Agriculture related,114
1912,DE,Data process related,13
1912,FR,Agriculture related,419
1912,FR,Data process related,201
1912,FR,Mining related,44
1912,GB,Agriculture related,306
1912,GB,Data process related,141
1912,GB,Mining related,72
1912,SE,Agriculture related,137
1912,US,Agriculture related,1864
1912,US,Data process related,451
1912,US,Mining related,205
1913,AT,Agriculture related,5
1913,AT,Mining related,2
1913,AU,Agriculture related,2
1913,AU,Data process related,1
1913,CH,Agriculture related,3
1913,DE,Agriculture related,105
1913,DE,Data process related,6
1913,DE,Mining related,1
1913,DK,Agriculture related,1
1913,FR,Agriculture related,404
1913,FR,Data process related,180
1913,FR,Mining related,52
1913,GB,Agriculture related,348
1913,GB,Data process related,138
1913,GB,Mining related,70
1913,NL,Agriculture related,3
1913,NL,Data process related,1
1913,SE,Agriculture related,126
1913,SE,Mining related,2
1913,US,Agriculture related,1680
1913,US,Data process related,437
1913,US,Mining related,193
1914,AT,Agriculture related,5
1914,AT,Data process related,2
1914,AU,Agriculture related,4
1914,AU,Data process related,2
1914,CH,Agriculture related,1
1914,CH,Data process related,2
1914,DE,Agriculture related,87
1914,DE,Data process related,5
1914,DK,Agriculture related,1
1914,FR,Agriculture related,359
1914,FR,Data process related,162
1914,FR,Mining related,37
1914,GB,Agriculture related,303
1914,GB,Data process related,127
1914,GB,Mining related,71
1914,NL,Agriculture related,20
1914,NL,Data process related,3
1914,NL,Mining related,3
1914,SE,Agriculture related,116
1914,SE,Data process related,1
1914,SE,Mining related,1
1914,US,Agriculture related,1987
1914,US,Data process related,532
1914,US,Mining related,224
1915,AT,Agriculture related,6
1915,AT,Data process related,3
1915,AT,Mining related,2
1915,AU,Agriculture related,2
1915,CH,Data process related,1
1915,DE,Agriculture related,52
1915,DE,Mining related,2
1915,DK,Agriculture related,2
1915,FR,Agriculture related,146
1915,FR,Data process related,73
1915,FR,Mining related,11
1915,GB,Agriculture related,236
1915,GB,Data process related,122
1915,GB,Mining related,73
1915,NL,Agriculture related,15
1915,NL,Data process related,10
1915,SE,Agriculture related,7
1915,US,Agriculture related,1898
1915,US,Data process related,577
1915,US,Mining related,278
1916,AT,Data process related,1
1916,AU,Agriculture related,1
1916,AU,Data process related,1
1916,CH,Agriculture related,1
1916,CH,Mining related,1
1916,DE,Agriculture related,33
1916,DE,Mining related,1
1916,DK,Data process related,1
1916,FR,Agriculture related,56
1916,FR,Data process related,45
1916,FR,Mining related,9
1916,GB,Agriculture related,170
1916,GB,Data process related,94
1916,GB,Mining related,42
1916,NL,Agriculture related,23
1916,NL,Data process related,10
1916,NL,Mining related,9
1916,SE,Agriculture related,1
1916,US,Agriculture related,2152
1916,US,Data process related,640
