period,reporterDesc,id,flowDesc,partnerDesc,cmdCode,cmdDesc,fobvalue,Category
1990,Fed. Rep. of Germany (...1990),48620755,Import,Belgium-Luxembourg (...1998),843031,Coal or rock cutters and tunnelling machinery; self-propelled,NA,Agriculture
1990,Fed. Rep. of Germany (...1990),50985605,Export,Venezuela,8433,"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading no 8437",99000,Agriculture
1990,Fed. Rep. of Germany (...1990),53784426,Export,Mauritius,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,338000,Logistics
1990,Finland,54178887,Export,Portugal,8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",1422556,Logistics
1990,Finland,47526918,Import,Dem. Rep. of Germany (...1990),8435,"Presses, crushers and similar machinery; used in the manufacture of wine, cider, fruit juices or similar beverages",NA,Agriculture
1990,Finland,46631690,Import,Norway,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",NA,Agriculture
1990,Greece,48490771,Import,USA,8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",NA,Logistics
1990,Iceland,44388344,Import,Japan,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",NA,Logistics
1990,India,50023882,Export,"Areas, nes",8435,"Presses, crushers and similar machinery; used in the manufacture of wine, cider, fruit juices or similar beverages",913,Agriculture
1990,India,49787236,Import,France,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",NA,Logistics
1990,Indonesia,46046660,Import,Australia,8435,"Presses, crushers and similar machinery; used in the manufacture of wine, cider, fruit juices or similar beverages",NA,Agriculture
1990,Japan,44488749,Import,Finland,8701,Tractors; (other than tractors of heading no 8709),NA,Logistics
1990,Japan,98566580,Export,Senegal,8701,Tractors; (other than tractors of heading no 8709),77175,Logistics
1990,Japan,54775641,Export,Belgium-Luxembourg (...1998),8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",77770417,Logistics
1990,Japan,44437155,Import,Sweden,8701,Tractors; (other than tractors of heading no 8709),NA,Logistics
1990,Japan,54942651,Export,Australia,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",5946043,Logistics
1990,Japan,54635907,Export,Dem. Rep. of Germany (...1990),8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,2981048,Logistics
1990,Madagascar,47829725,Import,Belgium-Luxembourg (...1998),8433,"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading no 8437",NA,Agriculture
1990,Malawi,100444174,Export,"Areas, nes",8436,"Agricultural, horticultural, forestry, poultry-keeping, bee-keeping machinery; including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders",203,Agriculture
1990,Malaysia,99279502,Export,Thailand,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",6627,Logistics
1990,Malaysia,51934610,Export,Italy,847410,"Machines; for sorting, screening, separating or washing earth, stone, ores or other mineral substances",9405,Mining
1990,Mexico,48523983,Import,Bulgaria,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,76199,Logistics
1990,New Zealand,100524850,Export,Tonga,8433,"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading no 8437",9295,Agriculture
1990,New Zealand,50582137,Export,Australia,8433,"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading no 8437",6740768,Agriculture
1990,Oman,49820862,Import,Netherlands,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,NA,Logistics
1990,Paraguay,45974256,Import,Canada,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",NA,Logistics
1990,Portugal,45148675,Import,USSR (...1990),9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",NA,Logistics
1990,Portugal,48076115,Import,Belgium-Luxembourg (...1998),847410,"Machines; for sorting, screening, separating or washing earth, stone, ores or other mineral substances",NA,Mining
1990,Rep. of Korea,97468954,Export,Sri Lanka,8709,"Works trucks, self-propelled, (not fitted with lifting or handling equipment), for factories, warehouses etc, for short distance transport of goods, tractors used on railway station platforms; parts thereof",3103,Logistics
1990,Rep. of Korea,54690318,Export,Thailand,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,312611,Logistics
1990,Romania,98916018,Export,Cyprus,8701,Tractors; (other than tractors of heading no 8709),55000,Logistics
1990,Singapore,97287430,Export,Thailand,8704,Vehicles; for the transport of goods,365197,Logistics
1990,Singapore,99542848,Export,Pakistan,847410,"Machines; for sorting, screening, separating or washing earth, stone, ores or other mineral substances",205864,Mining
1990,Singapore,49684459,Import,Italy,8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",NA,Logistics
1990,Spain,47811749,Import,Denmark,847410,"Machines; for sorting, screening, separating or washing earth, stone, ores or other mineral substances",NA,Mining
1990,Spain,99442234,Export,Venezuela,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",3785,Logistics
1990,Spain,52663264,Export,Malaysia,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,53241,Logistics
1990,Spain,48067382,Import,Czechoslovakia (...1992),8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",NA,Agriculture
1990,Sri Lanka,48131311,Import,United Kingdom,847410,"Machines; for sorting, screening, separating or washing earth, stone, ores or other mineral substances",NA,Mining
1990,Switzerland,52735274,Export,Viet Nam,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,21782,Logistics
1990,Switzerland,44675623,Import,France,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",NA,Logistics
1990,Switzerland,97721430,Export,Bulgaria,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",170249,Logistics
1990,Switzerland,53672311,Export,Nigeria,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,11644,Logistics
1990,Thailand,48319280,Import,Singapore,8437,"Machines for cleaning, sorting, grading seed, grain, dried leguminous vegetables; machinery used in the milling industry for the working of cereals or dried leguminous vegetables, not farm type machinery",NA,Agriculture
1990,Thailand,96200041,Export,Japan,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",50200,Logistics
1990,Türkiye,45859970,Import,France,8704,Vehicles; for the transport of goods,NA,Logistics
1991,Australia,52555563,Export,Germany,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,2716,Logistics
1991,Australia,50835811,Export,Iran,8433,"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading no 8437",1876494,Agriculture
1991,Australia,54192884,Export,Kiribati,8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",7599,Logistics
1991,Bangladesh,44820309,Import,Singapore,8709,"Works trucks, self-propelled, (not fitted with lifting or handling equipment), for factories, warehouses etc, for short distance transport of goods, tractors used on railway station platforms; parts thereof",NA,Logistics
1991,Brazil,99334900,Export,Kuwait,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",16242,Logistics
1991,Brazil,55043114,Export,Argentina,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,462418,Logistics
1991,Brazil,46323940,Import,Finland,8435,"Presses, crushers and similar machinery; used in the manufacture of wine, cider, fruit juices or similar beverages",NA,Agriculture
1991,Canada,50918728,Export,Ghana,8436,"Agricultural, horticultural, forestry, poultry-keeping, bee-keeping machinery; including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders",5496,Agriculture
1991,Canada,47726663,Import,France,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",1744494,Agriculture
1991,Canada,48046546,Import,Netherlands,8437,"Machines for cleaning, sorting, grading seed, grain, dried leguminous vegetables; machinery used in the milling industry for the working of cereals or dried leguminous vegetables, not farm type machinery",116968,Agriculture
